Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza pedalata media,Cadenza pedalata max,Velocità media,Velocità max,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Tempo riposo,Training Stress Score®,Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Ripetizioni totali,Serie totali,Tempo di immersione,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Frequenza respiratoria media,Frequenza respiratoria minima,Frequenza respiratoria massima,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Cardio,2023-03-07 20:28:14,false,"Cardio","0.00","307","01:01:20","87","122","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","01:01:20.34.1","1","32.0","22","17","32","00:00:00","01:01:20","--","--"
Ellittica,2023-03-07 19:48:57,false,"Ellittica","5.87","207","00:35:05","92","100","0.6","110","146","10.0","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","35:04.96.6","1","30.0","27","17","36","00:00:00","00:35:05","--","--"
Trail Running,2023-03-07 15:40:34,false,"Castel Mella Trail Running","12.85","890","01:08:48","130","142","3.5","167","179","5:21","4:38","38","40","1.12","9.0","10.3","271","50.0% S / 50.0% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","04:29.05.2","13","28.0","36","24","41","01:08:37","01:08:48","106","134"
Trail Running,2023-03-05 11:54:02,false,"Castel Mella Trail Running","30.09","2,016","02:23:35","140","156","5.0","173","181","4:46","4:06","92","89","1.21","8.4","10.4","258","50.8% S / 49.2% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:21.76.7","31","27.0","35","26","45","02:23:24","02:23:35","95","135"
Corsa su tapis roulant,2023-03-04 09:20:15,false,"Corsa su tapis roulant","6.67","501","01:05:05","111","125","2.1","117","169","9:46","5:10","--","--","0.87","9.7","8.7","498","49.4% S / 50.6% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","02:36.90.1","5","30.0","25","13","32","01:04:57","01:05:05","--","--"
Ellittica,2023-03-04 08:05:03,false,"Ellittica","13.05","656","01:05:24","121","131","2.5","133","163","12.0","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:05:23.94.3","1","31.0","29","18","36","00:00:00","01:05:24","--","--"
Trail Running,2023-03-03 19:35:12,false,"Castel Mella Trail Running","12.02","832","00:59:48","136","155","4.0","170","178","4:58","4:01","17","14","1.18","8.6","10.4","260","49.6% S / 50.4% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","00:04.19.1","13","22.0","34","19","44","00:59:43","00:59:48","105","112"
Ciclismo indoor,2023-03-02 21:10:48,false,"Ciclismo indoor","15.00","259","00:41:01","97","107","0.8","--","--","21.9","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","41:01.17","1","33.0","27","19","38","00:00:00","00:41:01","--","--"
Cardio,2023-03-02 19:49:22,false,"Cardio","0.00","372","01:20:14","82","128","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","01:20:14.32.1","1","32.0","22","12","32","00:00:00","01:20:14","--","--"
Ellittica,2023-03-02 18:14:25,false,"Ellittica","12.98","583","01:00:45","117","129","2.3","126","173","12.8","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:00:44.91.6","1","30.0","32","21","40","00:00:00","01:00:45","--","--"
Trail Running,2023-03-01 12:56:04,false,"10'z1 + 40'z2 + (5'z4 + 5'z2)X4 + 10'z2 + 20'z3 + defa","24.09","1,681","02:03:36","139","160","4.9","169","181","5:08","3:47","55","53","1.15","8.7","10.2","261","49.4% S / 50.6% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","00:33.05.7","25","26.0","33","20","45","02:03:22","02:04:44","106","131"
Cardio,2023-02-28 19:00:52,false,"Cardio","0.00","443","01:27:01","86","130","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:27:00.88.6","1","31.0","22","14","35","00:00:00","01:59:04","--","--"
Ellittica,2023-02-28 17:27:51,false,"Ellittica","13.07","604","01:05:06","115","126","2.2","123","167","12.0","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:05:05.85.4","1","30.0","33","17","43","00:00:00","01:05:06","--","--"
Trail Running,2023-02-25 08:10:00,false,"Brescia Trail Running","31.13","2,282","03:08:40","127","146","4.7","165","255","6:04","4:29","910","903","0.99","9.6","9.5","283","50.5% S / 49.5% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","00:47.32.5","32","26.0","32","19","42","03:08:25","03:13:04","140","872"
Trail Running,2023-02-24 18:55:30,false,"Castel Mella Trail Running","8.09","536","01:07:26","97","141","2.7","130","177","8:20","4:15","20","19","0.89","8.4","7.8","277","49.7% S / 50.3% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","00:24.12.8","9","27.0","24","12","45","01:07:25","01:07:26","106","125"
Nuoto in piscina,2023-02-23 20:40:22,false,"Nuoto in piscina","2,325","466","01:06:03","136","151","3.6","--","--","2:50","1:01","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","1641","60","25","0","--","0:00","0.0","0:00","No","01:06:03.46.5","1","0.0","--","--","--","01:06:03","01:06:43","--","--"
Cardio,2023-02-23 19:48:11,false,"Cardio","0.00","212","00:42:35","84","115","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","42:35.35.2","1","32.0","23","17","36","00:00:00","00:42:35","--","--"
Ellittica,2023-02-23 18:09:08,false,"Ellittica","13.01","487","01:05:02","107","131","1.9","134","166","12.0","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","01:05:02.46.4","1","31.0","28","21","37","00:00:00","01:05:02","--","--"
Trail Running,2023-02-22 13:18:56,false,"Castel Mella Trail Running","24.11","1,635","01:57:06","141","149","5.0","168","182","4:51","4:23","68","66","1.22","8.4","10.5","259","50.2% S / 49.8% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:29.64.9","25","28.0","29","19","40","01:56:54","01:57:06","95","134"
Cardio,2023-02-21 20:02:51,false,"Cardio","0.00","208","00:40:51","87","126","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","31.0","0:00","No","40:50.85.4","1","33.0","22","15","29","00:00:00","00:40:51","--","--"
Ellittica,2023-02-21 18:23:42,false,"Ellittica","11.56","430","00:58:42","106","119","1.5","130","159","11.8","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","58:41.59.2","1","32.0","26","18","37","00:00:00","00:58:42","--","--"
